City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Lodja,CD,-3.4833,23.4333,68.79,98,43,2.39,moderate rain
139,Tari,NG,12.4086,4.4914,77.81,14,0,12.66,clear sky
140,Necochea,AR,-38.5473,-58.7368,57.99,95,16,8.03,few clouds
141,Karratha,AU,-20.7377,116.8463,89.91,42,73,10.6,broken clouds
142,Sharlyk,RU,52.9167,54.75,19.45,94,94,3.33,overcast clouds
143,Carnarvon,AU,-24.8667,113.6333,78.8,89,0,5.75,clear sky
144,Virginia Beach,US,36.8529,-75.978,73.4,64,90,14.97,overcast clouds
145,Belaya Gora,RU,68.5333,146.4167,4.33,89,76,3.69,broken clouds
146,Avera,US,33.194,-82.5271,64.4,78,1,4.61,clear sky
147,El Tigre,VE,8.8875,-64.2454,81.1,57,74,13.27,broken clouds
148,Pokaran,IN,26.9167,71.9167,78.49,29,35,17.6,scattered clouds
149,Preeceville,CA,51.95,-102.6677,35.83,92,60,6.58,broken clouds
150,Saldanha,ZA,-33.0117,17.9442,62.6,59,100,3.44,overcast clouds
151,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,0,9.22,clear sky
152,Qaanaaq,GL,77.484,-69.3632,-20.81,75,66,5.91,broken clouds
153,Kaohsiung,TW,22.6163,120.3133,78.01,78,20,4.61,few clouds
154,Bar Harbor,US,44.3876,-68.2039,41.0,93,90,11.5,light rain
155,Iqaluit,CA,63.7506,-68.5145,12.2,79,75,12.66,light snow
156,Korla,CN,41.7597,86.1469,55.81,41,100,9.26,overcast clouds
157,Srednekolymsk,RU,67.45,153.6833,2.5,89,100,5.23,overcast clouds
158,Castro,BR,-24.7911,-50.0119,64.72,91,99,4.72,overcast clouds
159,Mingyue,CN,43.1069,128.9217,39.79,65,30,14.2,scattered clouds
160,Grindavik,IS,63.8424,-22.4338,28.4,80,75,13.8,light snow
161,Quatre Cocos,MU,-20.2078,57.7625,75.99,88,20,5.75,few clouds
162,Matara,LK,5.9485,80.5353,74.14,86,75,5.01,broken clouds
163,Baruun-Urt,MN,46.6806,113.2792,29.52,43,3,6.31,clear sky
164,Mali,GN,12.079,-12.2982,71.17,20,1,2.62,clear sky
165,Pochutla,MX,15.7432,-96.4661,87.8,45,1,17.27,clear sky
166,Port Hedland,AU,-20.3167,118.5667,84.2,61,22,5.75,few clouds
167,Lewistown,US,40.5992,-77.5714,53.6,47,20,17.27,few clouds
168,Oda,JP,35.1833,132.5,60.8,67,75,5.75,broken clouds
169,Gladstone,AU,-23.85,151.25,82.4,47,40,11.5,scattered clouds
170,Sao Sebastiao,BR,-23.76,-45.4097,77.2,88,79,5.39,light rain
171,Tessalit,ML,20.1986,1.0114,71.26,11,0,14.79,clear sky
172,Xiangfan,CN,32.0422,112.1448,62.19,84,17,1.39,few clouds
173,Matamoros,MX,25.5333,-103.25,75.2,31,75,23.02,dust
174,Shimoda,JP,34.6667,138.95,69.01,88,20,8.05,few clouds
175,Vardo,NO,70.3705,31.1107,33.93,88,58,14.54,broken clouds
176,Vestmannaeyjar,IS,63.4427,-20.2734,33.06,90,74,16.64,light snow
177,Ilulissat,GL,69.2167,-51.1,-11.2,44,1,1.14,clear sky
178,San Quintin,MX,30.4833,-115.95,68.95,40,0,13.85,clear sky
179,Seoul,KR,37.5683,126.9778,51.8,87,75,3.44,dust
180,Yulara,AU,-25.2406,130.9889,75.2,46,0,11.5,clear sky
181,Ribeira Grande,PT,38.5167,-28.7,60.37,84,100,22.84,overcast clouds
182,Aklavik,CA,68.2191,-135.0107,-4.0,54,50,4.61,scattered clouds
183,Port Alfred,ZA,-33.5906,26.891,65.08,78,100,20.31,overcast clouds
184,Lata,PT,40.1629,-8.3327,57.0,68,58,3.85,broken clouds
185,Quelimane,MZ,-17.8786,36.8883,78.01,88,75,9.22,light intensity drizzle
186,Shingu,JP,33.7333,135.9833,60.8,72,40,9.22,scattered clouds
187,Rio Gallegos,AR,-51.6226,-69.2181,48.2,61,0,3.44,clear sky
188,Aripuana,BR,-9.1667,-60.6333,73.09,97,76,1.95,moderate rain
189,Bend,US,44.0582,-121.3153,60.8,25,20,12.66,few clouds
190,Jimeta,NG,9.2833,12.4667,81.84,17,8,3.71,clear sky
191,Cap Malheureux,MU,-19.9842,57.6142,75.99,83,3,3.38,clear sky
192,Pampas,PE,-12.4,-74.9,50.92,95,98,4.74,overcast clouds
193,Guerrero,MX,17.6667,-100.0,84.87,25,2,4.18,clear sky
194,Ambon,ID,-3.6954,128.1814,80.6,83,20,5.75,few clouds
195,Russell,US,32.3502,-85.1999,62.6,72,75,12.66,broken clouds
196,Kiunga,PG,-6.1219,141.2906,75.61,91,100,2.84,overcast clouds
197,Okoneshnikovo,RU,54.8377,75.0834,25.59,96,100,8.61,light snow
198,Port Lincoln,AU,-34.7333,135.8667,66.16,71,3,9.86,clear sky
199,Yerbogachen,RU,61.2767,108.0108,17.98,99,100,2.55,overcast clouds
200,Port Blair,IN,11.6667,92.75,80.06,76,56,2.77,broken clouds
201,Tiksi,RU,71.6872,128.8694,5.13,93,100,1.36,overcast clouds
202,Saint-Pierre,RE,-21.3393,55.4781,75.2,78,4,5.75,clear sky
203,Tuatapere,NZ,-46.1333,167.6833,62.01,89,72,11.99,broken clouds
204,Inta,RU,66.0317,60.1659,-3.69,99,65,2.95,broken clouds
205,Panzhihua,CN,26.5851,101.7128,57.0,46,68,3.02,broken clouds
206,Markova,UA,48.6758,24.4138,27.66,85,30,6.17,scattered clouds
207,Pacific Grove,US,36.6177,-121.9166,62.6,51,1,3.44,clear sky
208,Saint-Augustin,CA,51.226,-58.6502,6.82,85,37,5.32,scattered clouds
209,Kudahuvadhoo,MV,2.6708,72.8944,79.72,82,100,7.61,heavy intensity rain
210,Dikson,RU,73.5069,80.5464,-27.63,100,96,7.25,overcast clouds
211,Cayenne,GF,4.9333,-52.3333,80.6,78,75,10.36,broken clouds
212,Ketchikan,US,55.3422,-131.6461,42.8,56,20,10.36,few clouds
213,Honningsvag,NO,70.9821,25.9704,33.3,72,86,12.59,overcast clouds
214,Hualmay,PE,-11.0964,-77.6139,69.85,84,80,8.48,broken clouds
215,Castelldefels,ES,41.2779,1.9703,54.0,76,0,6.91,clear sky
216,Dunda,TZ,-8.1167,34.25,63.19,98,85,2.28,light rain
217,Mazagao,BR,-0.115,-51.2894,82.4,94,75,3.44,broken clouds
218,Chuy,UY,-33.6971,-53.4616,63.36,92,45,4.54,scattered clouds
219,Orocue,CO,4.7912,-71.3354,79.38,72,96,8.23,overcast clouds
220,Marrakesh,MA,31.6315,-8.0083,75.2,23,75,10.36,broken clouds
221,Arlit,NE,18.7369,7.3853,68.23,14,0,7.87,clear sky
222,Husavik,IS,66.0449,-17.3389,32.0,64,75,21.85,light snow
223,Jinchang,CN,38.4953,102.1739,42.66,35,28,1.3,scattered clouds
224,Tanout,NE,14.9709,8.8879,68.58,14,0,14.18,clear sky
225,Ostrovnoy,RU,68.0531,39.5131,35.49,97,100,10.74,overcast clouds
226,Adrar,MR,20.5022,-10.0711,79.38,8,85,10.87,overcast clouds
227,Marzuq,YE,14.4,46.4667,63.77,27,1,5.01,clear sky
228,Morro Bay,US,35.3658,-120.8499,79.0,40,1,16.11,clear sky
229,Wuan,CN,31.6836,112.0044,62.46,85,2,1.86,clear sky
230,Awbari,LY,26.5921,12.7805,57.81,22,0,9.24,clear sky
231,Mazatlan,MX,23.2167,-106.4167,77.0,50,75,10.36,broken clouds
232,Chernyshevskiy,RU,63.0128,112.4714,19.38,95,100,3.49,light snow
233,Meadow Lake,US,34.8014,-106.5436,68.0,17,1,4.61,clear sky
234,Sola,VU,-13.8833,167.55,84.2,89,90,5.75,overcast clouds
235,Okha,RU,53.5739,142.9478,30.56,88,100,12.24,overcast clouds
236,Prince Rupert,CA,54.3161,-130.3201,41.0,60,40,13.8,scattered clouds
237,Kavieng,PG,-2.5744,150.7967,85.68,67,93,13.96,light rain
238,Gorin,RU,51.1983,136.6669,32.2,83,100,6.13,overcast clouds
239,Sur,OM,22.5667,59.5289,82.74,37,79,5.37,broken clouds
240,Susehri,TR,40.1644,38.0867,19.94,88,35,1.99,scattered clouds
241,Lorengau,PG,-2.0226,147.2712,83.77,77,100,9.73,overcast clouds
242,Port-Gentil,GA,-0.7193,8.7815,75.2,94,90,18.41,moderate rain
243,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,69,90,12.66,overcast clouds
244,Chingirlau,KZ,51.095,54.0814,28.36,94,100,9.44,light snow
245,Thunder Bay,CA,48.4001,-89.3168,32.0,47,40,13.8,scattered clouds
246,Pevek,RU,69.7008,170.3133,-11.2,95,71,4.38,broken clouds
247,Kholm,RU,59.2667,32.85,37.49,94,100,8.55,light rain
248,Merauke,ID,-8.4667,140.3333,78.19,89,100,9.26,overcast clouds
249,Vostok,RU,46.4856,135.8833,36.18,90,100,3.85,light rain
250,Connersville,US,39.6412,-85.1411,43.0,57,71,15.59,broken clouds
251,Misawa,JP,40.6836,141.3597,55.4,76,40,9.22,light rain
252,Zhangzhou,CN,24.5133,117.6556,68.0,77,90,6.71,overcast clouds
253,Teya,RU,60.3778,92.6267,14.36,98,100,1.03,overcast clouds
254,Hovd,MN,48.0056,91.6419,34.2,59,84,3.42,snow
255,Pemberton,CA,50.3164,-122.8027,35.01,93,90,3.44,overcast clouds
256,Mandalgovi,MN,45.7625,106.2708,31.06,31,0,6.89,clear sky
257,Biak,ID,-0.9131,122.8766,78.03,84,100,3.6,overcast clouds
258,Urumqi,CN,43.801,87.6005,48.2,81,75,4.47,broken clouds
259,San Vicente,AR,-26.6167,-54.1333,65.34,95,87,1.79,overcast clouds
260,Bull Savanna,JM,17.8868,-77.5902,75.04,79,13,10.71,few clouds
261,Acarau,BR,-2.8856,-40.12,77.43,83,9,6.02,clear sky
262,Barra Do Bugres,BR,-15.0725,-57.1811,75.97,79,31,2.35,scattered clouds
263,Sitka,US,57.0531,-135.33,39.2,48,20,16.11,few clouds
264,Udachnyy,RU,66.4167,112.4,13.32,96,100,4.97,overcast clouds
265,Souillac,MU,-20.5167,57.5167,75.2,88,20,5.75,few clouds
266,Buala,SB,-8.145,159.5921,85.12,69,20,7.85,light rain
267,Hervey Bay,AU,-25.2986,152.8535,78.01,74,100,1.01,overcast clouds
268,Khovu-Aksy,RU,51.1333,93.6,22.77,83,100,1.9,overcast clouds
