City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Puerto El Triunfo,SV,84.2,clear sky,13.2833,-88.55,Hotel Jardin
561,Santa Cruz Cabralia,BR,78.8,clear sky,-16.2781,-39.0247,Portobali Hotel
563,Mormugao,IN,81.79,broken clouds,15.4,73.8,Coconut Creek Resort
566,San Fernando,PH,84.2,scattered clouds,15.0286,120.6898,Maharlika Hostel
568,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
572,Phitsanulok,TH,82.4,clear sky,16.9167,100.5,บ้านโนบิตะ
576,Ha Tinh,VN,76.08,broken clouds,18.3333,105.9,Phú Quý
579,Cam Ranh,VN,77.0,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
591,Balikpapan,ID,76.87,heavy intensity rain,-1.2675,116.8289,ibis Balikpapan
601,Srandakan,ID,79.12,broken clouds,-7.9386,110.2506,Puri Brata
602,Pontianak,ID,75.2,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
605,Gizo,SB,84.87,broken clouds,-8.103,156.8419,Imagination Island
608,Black River,JM,80.6,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
609,Axim,GH,78.8,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
618,Jalingo,NG,80.94,clear sky,8.8833,11.3667,Debright Motel
623,Sambava,MG,76.77,light rain,-14.2667,50.1667,Melrose
632,Liuzhou,CN,75.09,scattered clouds,24.3126,109.3892,Linjiang Inn
634,Kapit,MY,76.3,light rain,2.0167,112.9333,Hotel Meligai Kapit
636,Totness,SR,77.27,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
638,Sao Joao Da Barra,BR,77.43,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
639,Namatanai,PG,84.76,overcast clouds,-3.6667,152.4333,Namatanai Hotel
643,Pindiga,NG,78.04,clear sky,9.9833,10.9333,Accommodation Center
645,Bowen,AU,84.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
653,Yeppoon,AU,84.2,few clouds,-23.1333,150.7333,Villa Mar Colina
658,Sunrise Manor,US,78.8,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
659,Newcastle,AU,75.0,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
667,Cairns,AU,86.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
670,Lucea,JM,80.6,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
674,Loreto,MX,77.74,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
680,Bontang,ID,78.49,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
683,Tevaitoa,PF,82.31,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
684,Barra,BR,81.97,broken clouds,-11.0894,-43.1417,Motel Albatroz
688,Dondo,MZ,78.8,scattered clouds,-19.6094,34.7431,Arco Iris
689,San Andres,CO,82.4,few clouds,12.5847,-81.7006,Hotel Arena Blanca
