City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Haapiti,PF,2021-03-28 20:04:53,-17.5667,-149.8667,87.8,62,20,8.05
152,Bengkulu,ID,2021-03-28 20:04:53,-3.8004,102.2655,77.27,90,100,4.12
153,Mar Del Plata,AR,2021-03-28 20:02:11,-38.0023,-57.5575,68.0,83,40,14.97
154,Mildura,AU,2021-03-28 20:04:54,-34.2,142.15,55.4,71,0,6.91
155,Manica,FR,2021-03-28 20:04:54,49.0,-1.1667,50.0,71,0,5.75
156,Qasigiannguit,GL,2021-03-28 20:04:54,68.8193,-51.1922,-7.6,45,0,4.61
157,Kota Kinabalu,MY,2021-03-28 20:00:10,5.9749,116.0724,77.0,94,20,3.44
158,Torbay,CA,2021-03-28 20:04:55,47.6666,-52.7314,28.99,68,75,9.22
159,Nuevo Mexico,MX,2021-03-28 20:04:55,20.75,-103.4333,89.01,4,20,3.44
160,Saint-Louis,SN,2021-03-28 20:04:55,16.3333,-15.0,96.8,19,0,2.3
161,Sol-Iletsk,RU,2021-03-28 20:04:56,51.1631,54.9918,26.8,92,100,7.34
162,Hualmay,PE,2021-03-28 20:04:56,-11.0964,-77.6139,74.35,74,68,9.71
163,Ilulissat,GL,2021-03-28 20:04:57,69.2167,-51.1,-7.6,45,0,4.61
164,Ulladulla,AU,2021-03-28 20:04:57,-35.35,150.4667,57.2,100,90,6.91
165,Atar,MR,2021-03-28 20:04:57,20.5169,-13.0499,84.36,18,80,11.65
166,Mayumba,GA,2021-03-28 20:04:58,-3.432,10.6554,77.86,84,100,3.47
167,Morondava,MG,2021-03-28 20:04:58,-20.2833,44.2833,78.31,77,0,9.46
168,Sitges,ES,2021-03-28 20:04:58,41.2351,1.8119,55.0,64,0,0.89
169,Innisfail,AU,2021-03-28 20:04:59,-17.5333,146.0333,73.9,84,93,4.43
170,Natal,BR,2021-03-28 20:03:57,-5.795,-35.2094,86.0,70,40,11.5
171,Tucuma,BR,2021-03-28 20:05:00,-0.1833,-50.05,80.06,83,46,8.05
172,Marrakesh,MA,2021-03-28 20:00:58,31.6315,-8.0083,75.2,27,75,10.36
173,Samarai,PG,2021-03-28 20:05:00,-10.6167,150.6667,82.06,79,92,10.94
174,Mizdah,LY,2021-03-28 20:05:00,31.4451,12.9801,62.64,22,8,7.99
175,Souillac,MU,2021-03-28 20:03:25,-20.5167,57.5167,77.0,88,20,4.61
176,Hobyo,SO,2021-03-28 20:05:01,5.3505,48.5268,80.58,78,45,12.48
177,Salalah,OM,2021-03-28 20:05:01,17.0151,54.0924,80.6,57,0,2.3
178,Karratha,AU,2021-03-28 20:05:02,-20.7377,116.8463,87.04,45,74,6.82
179,Manokwari,ID,2021-03-28 20:05:02,-0.8667,134.0833,77.94,81,100,4.92
180,Laguna,US,2021-03-28 20:05:03,38.421,-121.4238,75.99,27,1,10.36
181,Pundaguitan,PH,2021-03-28 20:05:04,6.3711,126.1689,80.8,77,100,3.96
182,Baykit,RU,2021-03-28 20:04:17,61.67,96.37,20.59,99,100,1.45
183,Chokurdakh,RU,2021-03-28 20:05:04,70.6333,147.9167,-16.42,100,98,4.68
184,Nouadhibou,MR,2021-03-28 20:04:27,20.931,-17.0347,68.0,73,0,20.71
185,Valcau De Jos,RO,2021-03-28 20:05:05,47.1167,22.7333,41.0,70,40,2.3
186,Half Moon Bay,US,2021-03-28 20:03:41,37.4636,-122.4286,66.2,93,20,12.66
187,Juneau,US,2021-03-28 20:01:56,58.3019,-134.4197,37.4,44,20,4.61
188,Ternova,UA,2021-03-28 20:05:05,50.1849,36.6757,41.0,52,0,4.47
189,Sitka,US,2021-03-28 20:05:06,57.0531,-135.33,39.2,60,20,18.41
